card_id,name,issuer_key,network,currency,is_business,annual_fee,first_year_fee_waived,base_earn_pct,bonus_amount,bonus_value_usd,bonus_spend,bonus_days,counts_toward_524,point_value_cents,url,discontinued,tccp_product_id
15cc2b7c31596c0112cfba30180ab739,Amazon Business,AMERICAN_EXPRESS,AMERICAN_EXPRESS,USD,true,0.0,false,1.0,100,100.0,0.01,90,false,,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/amazon-business-card/,false,
6ca9fd6caab5364f72928dd5ba04bb58,Rakuten,AMERICAN_EXPRESS,AMERICAN_EXPRESS,USD,true,0.0,false,1.0,25,25.0,500,90,false,,https://www.rakuten.com/american-express-card/,false,
f2d769efdbe2b9d8734787bc24297be6,Air France KLM,BANK_OF_AMERICA,MASTERCARD,FLYING_BLUE,false,89.0,false,1.0,70000,700.0,3000,90,true,1.0,https://wwws.airfrance.us/information/flyingblue/carte-bancaire-partenaire,false,bank-of-america-air-france-klm-world-elite-mastercard
f2461735a56702c428c209486e2f9e55,Customized Cash Rewards,BANK_OF_AMERICA,VISA,USD,false,0.0,false,1.0,200,200.0,1000,90,true,,https://www.bankofamerica.com/credit-cards/products/cash-back-credit-card/,false,bank-of-america-bank-of-america-customized-cash-rewards
eb8bc1a6f86dc471aa0deeca619fbf59,Premium Rewards,BANK_OF_AMERICA,VISA,BANK_OF_AMERICA,false,95.0,false,1.0,60000,600.0,4000,90,true,1.0,https://www.bankofamerica.com/credit-cards/products/premium-rewards-credit-card/,false,bank-of-america-bank-of-america-premium-rewards-elite
20594480e9f5656485a12e13389f60c7,Premium Rewards Elite,BANK_OF_AMERICA,VISA,BANK_OF_AMERICA,false,550.0,false,1.0,75000,750.0,5000,90,true,1.0,https://www.bankofamerica.com/credit-cards/products/premium-rewards-elite-credit-card/,false,bank-of-america-bank-of-america-premium-rewards-elite
fecfaab2c32f3edd5d97eafd8f3f19d6,Travel Rewards,BANK_OF_AMERICA,VISA,BANK_OF_AMERICA,false,0.0,false,1.5,25000,250.0,1000,90,true,1.0,https://www.bankofamerica.com/credit-cards/products/travel-rewards-credit-card/,false,bank-of-america-bank-of-america-travel-rewards
98db04658d4deee69293bd67bd2fd341,Unlimited Cash Rewards,BANK_OF_AMERICA,VISA,USD,false,0.0,false,1.5,200,200.0,1000,90,true,,https://www.bankofamerica.com/credit-cards/products/unlimited-cash-back-credit-card/,false,bank-of-america-bank-of-america-unlimited-cash-rewards
4f6d71dd4d06ff960cae0990b5efda21,Business Advantage Customized Cash,BANK_OF_AMERICA,MASTERCARD,USD,true,0.0,false,1.5,500,500.0,5000,90,false,,https://www.bankofamerica.com/smallbusiness/credit-cards/products/cash-rewards-business-credit-card,false,
a99aa675065459b90144275ac18d9ab1,Business Advantage Unlimited Cash,BANK_OF_AMERICA,MASTERCARD,USD,true,0.0,false,1.5,500,500.0,5000,90,false,,https://www.bankofamerica.com/smallbusiness/credit-cards/products/unlimited-cash-rewards-business-credit-card,false,
1e75cf9ca2ccded9a621d5e8f5630c3c,Business Advantage Travel Rewards,BANK_OF_AMERICA,MASTERCARD,BANK_OF_AMERICA,true,0.0,false,1.5,50000,500.0,5000,90,false,1.0,https://www.bankofamerica.com/smallbusiness/credit-cards/products/travel-rewards-business-credit-card,false,
9dce80bda519a8616ca4eb288d7cc693,Platinum Plus,BANK_OF_AMERICA,MASTERCARD,USD,true,0.0,false,1.5,300,300.0,3000,90,false,,https://www.bankofamerica.com/smallbusiness/credit-cards/products/platinum-plus-business-credit-card,false,
541d121bd20b148d43a8c896d0de6830,Free Spirit,BANK_OF_AMERICA,MASTERCARD,SPIRIT,false,79.0,true,1.5,65000,650.0,1000,90,true,1.0,https://www.bankofamerica.com/credit-cards/products/spirit-airlines-credit-card/,false,bank-of-america-free-spirit-travel-world-mastercard
12a1230229f936ee5f7b2d333e796ab8,Atmos Rewards Ascent,BANK_OF_AMERICA,VISA,ALASKA,false,95.0,false,1.0,85000,850.0,4000,120,true,1.0,https://www.alaskaair.com/atmosrewards/content/credit-cards,false,bank-of-america-atmos-rewards-ascent-visa-signature
